
1. Қоса беріліп отырған «Жер қойнауы және жер қойнауын пайдалану туралы» Қазақстан Республикасының 2010 жылғы 24 маусымдағы Заңын іске асыру мақсатында қабылдануы қажет нормативтік құқықтық актілердің тізбесі (бұдан әрі - тізбе) бекітілсін. 2. Мемлекеттік органдар: 1) тізбеге сәйкес нормативтік құқықтық актілердің жобаларын әзірлесін және белгіленген тәртіппен Қазақстан Республикасы Үкіметінің бекітуіне енгізсін; 2) тиісті ведомстволық нормативтік құқықтық актілерді қабылдасын және қабылданған шаралар туралы Қазақстан Республикасының Үкіметін хабардар етсін.

Премьер-Министр                                      К. Мәсімов

Қазақстан Республикасы Премьер-Министрінің 2010 жылғы 28 тамыздағы № 120-ө өкімімен бекітілген

«Жер қойнауы және жер қойнауын пайдалану туралы» Қазақстан Республикасының 2010 жылғы 24 маусымдағы Заңын іске асыру мақсатында қабылдануы қажет нормативтік құқықтық актілердің тізбесі


р/с№	|	Нормативтік құқықтық актінің атауы	|	Акт нысаны	|	Жауапты мемлекеттік органдар	|	Орындау мерзімі
30.	|	Теңізде, ішкі су айдындарында, төтенше экологиялық жағдай аймақтарында және ерекше қорғалатын табиғи аумақтарда мұнай операцияларын жүргізу ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	МГМ, ИЖТМ, Қоршағанортамині, ТЖМ,АШМ	|	2010 жылғы тамыз
31.	|	Жер қойнауын пайдаланушы келісімшарттық аумақта өндірген мұнайдың көлемі мен салмағын өлшеу ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	МГМ	|	2010 жылғы тамыз
32.	|	Мұнай операцияларын жүргізген кезде ілеспе және (немесе) табиғи газ жағудың нормативтері мен көлемдерін есептеу әдістемесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	МГМ, ИЖТМ, Қоршағанортамині, ТЖМ	|	2010 жылғы тамыз
33.	|	Пайдалы қазбалар қорларын мемлекеттік балансқа қосу және оларды мемлекеттік баланстан шығару ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ИЖТМ, МГМ	|	2010 жылғы тамыз
34.	|	Ілеспе және (немесе) табиғи газды алау етіп жағуға рұқсат беру ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	МГМ, ИЖТМ, Қоршағанортамині, ТЖМ	|	2010 жылғы тамыз
35.	|	Кен орындарының және пайдалы қазбалар көрініс-белгілерінің мемлекеттік кадастрын жүргізу ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ИЖТМ, МГМ, Қоршағанортамині	|	2010 жылғы тамыз
36.	|	Зиянды заттарды, радиоактивті қалдықтарды көмудің және сарқынды суларды жер қойнауына ағызудың мемлекеттік кадастрын жүргізу ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	Қоршағанортамині, ИЖТМ	|	2010 жылғы тамыз
37.	|	Пайдалы қазбалар қорларының мемлекеттік балансы бойынша мемлекеттік органдарға ақпарат беру ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ИЖТМ, МГМ, ЭДСМ	|	2010 жылғы тамыз
38.	|	Кәсіби авариялық-құтқару қызметтерінің жер қойнауын пайдаланушыларға қызмет көрсету ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ТЖМ, ИЖТМ, МГМ	|	2010 жылғы тамыз
39.	|	Жер қойнауын ұтымды пайдалану саласындағы талаптарды бұзу салдарынан келтірілген залалдың мөлшерін айқындау ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ИЖТМ, МГМ, Қоршағанортамині	|	2010 жылғы тамыз
40.	|	Барлаумен немесе өндірумен байланысты емес жерасты құрылыстарын салуға және (немесе) пайдалануға жер қойнауын пайдалану құқығын беру, сондай-ақ барлаумен немесе өндірумен байланысты емес жерасты құрылыстарын салуды және (немесе) пайдалануды жүзеге асыру ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ИЖТМ, МГМ, Қоршағанортамині	|	2010 жылғы тамыз
41.	|	Жер қойнауын мемлекеттік геологиялық зерттеуге арналған келісімшартты (шартты) жасасу ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ИЖТМ,	|	2010 жылғы тамыз
42.	|	Теңіздегі ғылыми зерттеулерді жүргізу ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	МГМ, ИЖТМ, Қоршағанортамині, БҒМ	|	2010 жылғы тамыз
43.	|	Жер қойнауын пайдалану объектілерін жою және консервациялау ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ИЖТМ, Қоршағанортамині, МГМ	|	2010 жылғы тамыз
44.	|	Жер қойнауының жай-күйі туралы геологиялық есептілікті ұсыну нысанын бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ИЖТМ	|	2010 жылғы тамыз
45.	|	Техногендік минералдық тізілімдердің мемлекеттік кадастрын жүргізу ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ИЖТМ, Қоршағанортамині	|	2010 жылғы тамыз
46.	|	«Жер қойнауын пайдалану жөніндегі операцияларды жүргізу кезінде пайдаланылатын тауарлардың, жұмыстар мен көрсетілетін қызметтердің және оларды өндірушілердің тізілімі» деген мемлекеттік ақпараттық жүйе арқылы жер қойнауын пайдалану жөніндегі операцияларды жүргізу кезінде тауарларды, жұмыстар мен көрсетілетін қызметтерді сатып алу ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ИЖТМ, МГМ	|	2010 жылғы тамыз
47.	|	Еркін өткізу қуаты болған жағдайда магистральдық құбырлар мен темір жол эстакадалары қуаттарын пайдалану ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	МГМ, ИЖТМ, ККМ	|	2010 жылғы тамыз
48.	|	Электрондық сатып алу жүйелері жұмыстарының жер қойнауын пайдалану жөніндегі операцияларды жүргізу кезінде пайдаланылатын тауарлардың, жұмыстар мен көрсетілетін қызметтердің және оларды өндірушілердің тізілімі жұмысымен қадамдастыру ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ижтм, мгм	|	2010 жылғы тамыз
49.	|	Тәулігіне екі мың текше метр және одан да көп көлемдегі өндірістік-техникалық жерасты суларын пайдалы қазбаны өндірудің технологиялық схемасына сәйкес қаттарға айдау үшін оларды барлау мен өндіруге не тау-кен қазбаларын пайдалану кезінде су деңгейін төмендету мақсатында жерасты суларын өндіруге арналған рұқсатты беру ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ижтм	|	2010 жылғы тамыз
50.	|	Жер қойнауын пайдалану құқығын беруге арналған конкурс шартына енгізілетін жер қойнауын пайдалану жөніндегі операцияларды жүргізу кезінде тауарлардағы, жұмыстардағы және көрсетілетін қызметтердегі ең аз қазақстандық қамтуды есептеу ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ИЖТМ, МГМ	|	2010 жылғы тамыз
51.	|	Жер қойнауын пайдаланушылардың тауарларды, жұмыстар мен көрсетілетін қызметтерді сатып алуының жылдық, орта мерзімді, ұзақ мерзімді бағдарламаларын, сатып алынған тауарлар, жұмыстар мен көрсетілетін қызметтер туралы және кадрлардағы қазақстандық қамту жөніндегі міндеттемелердің орындалуы туралы есептерін жасаудың және ұсынудың нысандары мен ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	мгм, ижтм	|	2010 жылғы тамыз
52.	|	Қазақстан Республикасының азаматтары болып табылатын, келісімшартты орындау кезінде тартылған қызметкерлерді оқытуға, олардың біліктілігін арттыруға және қайта даярлауға немесе құзыретті органмен келісілген мамандықтар тізбесі бойынша Қазақстан Республикасының азаматтарын оқытуға бағытталған шығыстар мөлшері жөніндегі міндеттемелерді орындау бойынша жер қойнауын пайдаланушылардың есептерін жасаудың және ұсынудың нысандары мен ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	МГМ,ижтм, БҒМ, Еңбекмині	|	2010 жылғы тамыз
