
«Мемлекеттік мүлік туралы» 2011 жылғы 1 наурыздағы Қазақстан Республикасының Заңы 114-бабының 1-тармағына , «Ұлттық әл-ауқат қоры туралы» 2012 жылғы 1 ақпандағы Қазақстан Республикасының Заңы 4-бабының 2-тармағының 1) тармақшасына және 23-бабының 1-тармағына сәйкес Қазақстан Республикасының Үкіметі ҚАУЛЫ ЕТЕДІ : 1. Осы қаулыға қосымшаға сәйкес республикалық мүлік заңнамада белгіленген тәртіппен «Самұрық-Қазына» ұлттық әл-ауқат қоры» акционерлік қоғамының (бұдан әрі – Қор) орналастырылатын акцияларын төлеуге берілсін. 2. Қазақстан Республикасы Қаржы министрлігінің Мемлекеттік мүлік және жекешелендіру комитеті Қормен (келісім бойынша) бірлесіп, осы қаулыдан туындайтын шараларды қабылдасын. 3. Осы қаулы қол қойылған күнінен бастап қолданысқа енгізіледі.


Қазақстан РеспубликасыныңПремьер-Министрі	|	К Мәсімов



	|	Қазақстан РеспубликасыҮкіметінің2014 жылғы 26 желтоқсандағы№ 1383 қаулысынақосымша


«Самұрық-Қазына» ұлттық әл-ауқат қоры» акционерлік қоғамының орналастырылатын акцияларын төлеуге берілетін республикалық мүліктің тізбесі


Р/с№	|	Мүліктің атауы	|	Орналасқан жері	|	Өлшем бірлігі	|	Нөмір
метр	|	дана	|	түгендеу	|	тіркеу
1	|	2	|	3	|	4	|	5	|	6	|	7
61	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	79,2	|		|	АР0001384	|	11/04.35-1/10498 21.01.2011ж
62	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	195,4	|		|	АР0001385	|	11/04.35-1/10546 21.01.2011ж
63	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	51,2	|		|	АР0001386	|	11/04.35-1/10421 21.01.2011ж
64	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	43,6	|		|	АР0001387	|	11/04.35-1/10218 20.01.2011 ж
65	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	96,8	|		|	АР0001388	|	11/04.35-1/10264 20.01.2011ж
66	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	607,8	|		|	АР0001389	|	11/04.35-1/11465 02.02.2011ж
67	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	1 200,00	|		|	АР0001390	|	11/04.35-1/10347 20.01.2011ж
68	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	272	|		|	АР0001391	|	11/04.35-1/10157 20.01.2011ж
69	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	422,8	|		|	АР0001392	|	11/04.35-1/10648 21.01.2011ж
70	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	974,2	|		|	АР0001393	|	11/04.35-1/11674 03.02.2011ж
71	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	55,4	|		|	АР0001394	|	11/04.35-1/10061 20.01.2011ж
72	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	106,6	|		|	АР0001395	|	11/04.35-1/10328 20.01.2011 ж
73	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	66,6	|		|	АР0001396	|	11/04.35-1/10327 20.01.2011 ж
74	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	155	|		|	АР0001397	|	11/04.35-1/10313 20.01.2011ж
75	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	410,2	|		|	АР0001398	|	11/04.35-1/10341 21.01.2011ж
76	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	254,2	|		|	АР0001399	|	11/04.35-1/10213 20.01.2011ж
77	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	258,4	|		|	АР0001400	|	11/04.35-1/10336 21.01.2011ж
78	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	268,4	|		|	АР0001401	|	11/04.35-1/10049 20.01.2011ж
79	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	262,8	|		|	АР0001402	|	11/04.35-1/10256 20.01.2011ж
80	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	308,4	|		|	АР0001403	|	11/04.35-1/10001 20.01.2011ж
81	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	556,4	|		|	АР0001404	|	11/04.35-1/10399 21.01.2011ж
82	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	448,6	|		|	АР0001405	|	11/04.35-1/10035 20.01.2011ж
83	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	721,2	|		|	АР0001406	|	11/04.35-1/11615 03.02.2011ж
84	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	316,6	|		|	АР0001407	|	11/04.35-1/11660 03.02.2011ж
85	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	631,4	|		|	АР0001408	|	11/04.35-1/11459 02.02.2011ж
86	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	492	|		|	АР0001409	|	11/04.35-1/11626 03.02.2011ж
87	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	620,6	|		|	АР0001410	|	11/04.35-1/11518 02.02.2011ж
88	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	506,8	|		|	АР0001411	|	11/04.35-1/11704 03.02.2011ж
89	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	697,2	|		|	АР0001412	|	11/04.35-1/11703 03.02.2011ж
90	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	343,4	|		|	АР0001413	|	11/04.35-1/11607 03.02.2011ж
91	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	408,6	|		|	АР0001414	|	11/04.35-1/11608 20.01.2011ж
92	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	439,2	|		|	АР0001415	|	11/04.35-1/10525 21.01.2011ж
93	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	344,4	|		|	АР0001416	|	11/04.35-1/10392 21.01.2011ж
94	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	365,4	|		|	АР0001417	|	11/04.35-1/10013 20.01.2011ж
95	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	104,4	|		|	АР0001418	|	11/04.35-1/11146 25.01.2011ж
96	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	680,4	|		|	АР0001419	|	11/04.35-1/10053 20.01.2011ж
