ШЕШТІ:

1. "2021-2023 жылдарға арналған қалалық бюджет туралы" 2020 жылғы 23 желтоқсандағы Тараз қалалық мәслихатының №66-3 шешіміне (Нормативтік құқықтық актілердің мемлекеттік тіркеу тізілімінде №4875 болып тіркелген) келесі өзгерістер енгізілсін:

1 тармақ жаңа редакцияда мазмұндалсын:

"1) 2021-2023 жылдарға арналған қалалық бюджет тиісінше осы шешімге 1, 2 және 3 қосымшаларға сәйкес, оның ішінде 2021 жылға мынадай көлемдерде бекітілсін:

1) кірістер – 61 825 116 мың теңге, оның ішінде:

салықтық түсімдер – 14 872 926 мың теңге;

негізгі капиталды сатудан түскен түсімдер – 3 878 080 мың теңге;

трансферттер түсімі– 42 906 953 мың теңге;

2) шығындар – 74 711 526 мың теңге;

5) бюджет тапшылығы (профициті) – -13 563 598 мың теңге;

6) бюджет тапшылығын қаржыландыру (профицитін пайдалану) – 13 563 598 мың теңге:

қарыздар түсімі – 16 050 133 мың теңге;

қарыздарды өтеу – 4 799 988 мың теңге".

2 тармақ жаңа редакцияда мазмұндалсын:

"2. 2021 жылға арналған қала әкімдігінің резерві 778 334 мың теңге сомасында бекітілсін".

Көрсетілген шешімнің 1 қосымшасы осы шешімнің қосымшасына сәйкес жаңа редакцияда мазмұндалсын.

2. Осы шешім 2021 жылдың 1 қаңтарынан қолданысқа енгізіледі.


Тараз қалалық мәслихаты
сессиясының төрағасы	|	А. Абделі
Тараз қалалық
мәслихатының хатшысы	|	Б. Кулекеев
	|	458	|		|	Ауданның (облыстық маңызы бар қаланың) тұрғын үй-коммуналдық шаруашылығы, жолаушылар көлігі және автомобиль жолдары бөлімі	|	3764348
	|		|	015	|	Елдi мекендердегі көшелердi жарықтандыру	|	1157508
	|		|	016	|	Елдi мекендердiң санитариясын қамтамасыз ету	|	1054211
	|		|	017	|	Жерлеу орындарын ұстау және туыстары жоқ адамдарды жерлеу	|	2994
	|		|	018	|	Елдi мекендердi абаттандыру және көгалдандыру	|	1549635
08	|		|		|	Мәдениет, спорт, туризм және ақпараттық кеңістiк	|	989003
	|	455	|		|	Ауданның (облыстық маңызы бар қаланың) мәдениет және тілдерді дамыту бөлімі	|	258464
	|		|	003	|	Мәдени-демалыс жұмысын қолдау	|	258464
	|	467	|		|	Ауданның (облыстық маңызы бар қаланың) құрылыс бөлімі	|	2500
	|		|	011	|	Мәдениет объектілерін дамыту	|	2500
	|	465	|		|	Ауданның (облыстық маңызы бар қаланың) дене шынықтыру және спорт бөлімі	|	169487
	|		|	001	|	Жергілікті деңгейде дене шынықтыру және спорт саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	159615
	|		|	004	|	Мемлекеттік органның күрделі шығыстары	|	21
	|		|	005	|	Ұлттық және бұқаралық спорт түрлерін дамыту	|	2522
	|		|	006	|	Аудандық (облыстық маңызы бар қалалық) деңгейде спорттық жарыстар өткiзу	|	4229
	|		|	007	|	Әртүрлi спорт түрлерi бойынша аудан (облыстық маңызы бар қала) құрама командаларының мүшелерiн дайындау және олардың облыстық спорт жарыстарына қатысуы	|	3100
	|	467	|		|	Ауданның (облыстық маңызы бар қаланың) құрылыс бөлімі	|	15719
	|		|	008	|	Cпорт объектілерін дамыту	|	15719
	|	455	|		|	Ауданның (облыстық маңызы бар қаланың) мәдениет және тілдерді дамыту бөлімі	|	184487
	|		|	006	|	Аудандық (қалалық) кiтапханалардың жұмыс iстеуi	|	181193
	|		|	007	|	Мемлекеттiк тiлдi және Қазақстан халқының басқа да тiлдерін дамыту	|	3294
	|	456	|		|	Ауданның (облыстық маңызы бар қаланың) ішкі саясат бөлімі	|	67141
	|		|	002	|	Мемлекеттік ақпараттық саясат жүргізу жөніндегі қызметтер	|	67141
	|	455	|		|	Ауданның (облыстық маңызы бар қаланың) мәдениет және тілдерді дамыту бөлімі	|	62627
	|		|	001	|	Жергілікті деңгейде тілдерді және мәдениетті дамыту саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	46518
	|		|	032	|	Ведомстволық бағыныстағы мемлекеттік мекемелер мен ұйымдардың күрделі шығыстары	|	16109
	|	456	|		|	Ауданның (облыстық маңызы бар қаланың) ішкі саясат бөлімі	|	228578
	|		|	001	|	Жергілікті деңгейде ақпарат, мемлекеттілікті нығайту және азаматтардың әлеуметтік сенімділігін қалыптастыру саласында мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	125155
	|		|	003	|	Жастар саясаты саласында іс-шараларды іске асыру	|	103357
	|		|	006	|	Мемлекеттік органның күрделі шығыстары	|	66
10	|		|		|	Ауыл, су, орман, балық шаруашылығы, ерекше қорғалатын табиғи аумақтар, қоршаған ортаны және жануарлар дүниесін қорғау, жер қатынастары	|	97484
	|	462	|		|	Ауданның (облыстық маңызы бар қаланың) ауыл шаруашылығы бөлімі	|	33132
	|		|	001	|	Жергілікті деңгейде ауыл шаруашылығы саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	33132
	|	463	|		|	Ауданның (облыстық маңызы бар қаланың) жер қатынастары бөлімі	|	64352
	|		|	001	|	Аудан (облыстық маңызы бар қала) аумағында жер қатынастарын реттеу саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	64233
	|		|	007	|	Мемлекеттік органның күрделі шығыстары	|	119
11	|		|		|	Өнеркәсіп, сәулет, қала құрылысы және құрылыс қызметі	|	362095
	|	467	|		|	Ауданның (облыстық маңызы бар қаланың) құрылыс бөлімі	|	125222
	|		|	001	|	Жергілікті деңгейде құрылыс саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	124622
	|		|	017	|	Мемлекеттік органның күрделі шығыстары	|	600
	|	468	|		|	Ауданның (облыстық маңызы бар қаланың) сәулет және қала құрылысы бөлімі	|	236873
	|		|	001	|	Жергілікті деңгейде сәулет және қала құрылысы саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	158432
	|		|	002	|	Ақпараттық жүйелер құру	|	39591
	|		|	003	|	Аудан аумағында қала құрылысын дамыту схемаларын және елді мекендердің бас жоспарларын әзірлеу	|	36000
	|		|	004	|	Мемлекеттік органның күрделі шығыстары	|	2850
12	|		|		|	Көлiк және коммуникация	|	2519751
	|	458	|		|	Ауданның (облыстық маңызы бар қаланың) тұрғын үй-коммуналдық шаруашылығы, жолаушылар көлігі және автомобиль жолдары бөлімі	|	2519751
	|		|	023	|	Автомобиль жолдарының жұмыс істеуін қамтамасыз ету	|	150000
	|		|	045	|	Аудандық маңызы бар автомобиль жолдарын және елді-мекендердің көшелерін күрделі және орташа жөндеу	|	1589751
	|		|	037	|	Әлеуметтік маңызы бар қалалық (ауылдық), қала маңындағы және ауданішілік қатынастар бойынша жолаушылар тасымалдарын субсидиялау	|	780000
13	|		|		|	Басқалар	|	866938
	|	458	|		|	Ауданның (облыстық маңызы бар қаланың) тұрғын үй-коммуналдық шаруашылығы, жолаушылар көлігі және автомобиль жолдары бөлімі	|	88604
	|		|	055	|	"Бизнестің жол картасы 2025" бизнесті қолдау мен дамытудың бірыңғай бағдарламасы шеңберінде индустриялық инфрақұрылымды дамыту	|	88604
	|	452	|		|	Ауданның (облыстық маңызы бар қаланың) қаржы бөлімі	|	778334
	|		|	012	|	Ауданның (облыстық маңызы бар қаланың) жергілікті атқарушы органының резерві	|	778334
14	|		|		|	Борышқа қызмет көрсету	|	331205
	|	452	|		|	Ауданның (облыстық маңызы бар қаланың) қаржы бөлімі	|	331205
	|		|	013	|	Жергілікті атқарушы органдардың облыстық бюджеттен қарыздар бойынша сыйақылар мен өзге де төлемдерді төлеу бойынша борышына қызмет көрсету	|	331205
15	|		|		|	Трансферттер	|	31743558
	|	452	|		|	Ауданның (облыстық маңызы бар қаланың) қаржы бөлімі	|	31743558
	|		|	006	|	Пайдаланылмаған (толық пайдаланылмаған) нысаналы трансферттерді қайтару	|	66337
	|		|	024	|	Заңнаманы өзгертуге байланысты жоғары тұрған бюджеттің шығындарын өтеуге төменгі тұрған бюджеттен ағымдағы нысаналы трансферттер	|	31677221
	|		|		|	Ш. Таза бюджеттік кредиттеу	|	0
	|		|		|	Бюджеттік кредиттер	|	0
	|		|		|	Бюджеттік кредиттерді өтеу	|	0
	|		|		|	IV. Қаржы активтерімен операциялар бойынша сальдо	|	677188
	|		|		|	Қаржы активтерін сатып алу	|	677188
13	|		|		|	Басқалар	|	677188
	|	458	|		|	Ауданның (облыстық маңызы бар қаланың) тұрғын үй-коммуналдық шаруашылығы, жолаушылар көлігі және автомобиль жолдары бөлімі	|	317340
	|		|	065	|	Заңды тұлғалардың жарғылық капиталын қалыптастыру немесе ұлғайту	|	317340
	|	491	|		|	Ауданның (облыстық маңызы бар қаланың) тұрғын үй қатынастары бөлімі	|	359848
	|		|	065	|	Заңды тұлғалардың жарғылық капиталын қалыптастыру немесе ұлғайту	|	359848
	|		|		|	Қаржы активтерін сатудан түсетін түсімдер	|	0
	|		|		|	V. Бюджет тапшылығы (профициті)	|	-13563598
	|		|		|	VI. Бюджет тапшылығын қаржыландыру (профицитін пайдалану)	|	13563598
Санаты	|	
	|	Сыныбы	|	
	|		|	Iшкi сыныбы	|	
	|		|		|	Атауы	|	Сомасы, мың теңге
1	|	2	|	3
7	|		|		|	Қарыздар түсімі	|	16050133
	|	1	|		|	Мемлекеттік ішкі қарыздар	|	16050133
	|		|	2	|	Қарыз алу келісім-шарттары	|	16050133
8	|		|		|	Бюджет қаражаттарының пайдаланылатын қалдықтары	|	2313453
Функционалдық топ	|	
	|	Бюджеттік бағдарламалардың әкiмшiсi	|	
	|		|	Бағдарлама	|	
	|		|		|	Атауы	|	Сомасы, мың теңге
1	|		|		|	2	|	3
16	|		|		|	Қарыздарды өтеу	|	4799988
	|	452	|		|	Ауданның (облыстық маңызы бар қаланың) қаржы бөлімі	|	4799988
	|		|	008	|	Жергілікті атқарушы органның жоғары тұрған бюджет алдындағы борышын өтеу	|	4799988



