
"Қазақстан Республикасындағы жергілікті мемлекеттік басқару және өзін-өзі басқару туралы" Қазақстан Республикасының 2001 жылғы 23 қаңтардағы Заңының 31 бабына , "Халықты жұмыспен қамту туралы" Қазақстан Республикасының 2001 жылғы 23 қаңтардағы Заңының 20 бабына , "Халықты жұмыспен қамту туралы" Қазақстан Республикасының 2001 жылғы 23 қаңтардағы Заңын іске асыру жөніндегі шаралар туралы" Қазақстан Республикасы Үкіметінің 2001 жылғы 19 маусымдағы N 836 қаулысымен бекітілген "Қоғамдық жұмыстарды ұйымдастыру мен қаржыландырудың ережесіне" сәйкес Қарағанды қаласының әкімдігі ҚАУЛЫ ЕТЕДІ: 1. "2011 жылға арналған қоғамдық жұмыстарды ұйымдастыратын Қарағанды қаласы кәсіпорындарының, ұйымдарының, мекемелерінің тізбесін бекіту туралы" Қарағанды қаласы әкімдігінің 2010 жылғы 14 желтоқсандағы N 60/09 қаулысына нормативтік құқықтық актілердің тізілімінде 8-1-125 нөмірімен тіркелді, 2011 жылғы 11 қаңтарында "Индустриальная Караганда" N 2 (21 016), "Орталық Қазақстан" N 3 (20 998) газеттерінде жарияланды) келесі өзгеріс енгізілсін: аталған қаулының қосымшасы жаңа редакцияда осы қаулының қосымшасына сәйкес оқылсын. 2. Осы қаулының орындалуын бақылау Қарағанды қаласы әкімінің орынбасары И.Ю. Любарскаяға жүктелсін. 3. Осы қаулы ресми жарияланған күннен бастап қолданысқа енеді.

Қала әкімі                                 Б. Әбдішев

Қарағанды қаласы әкімдігінің 2011 жылғы 28 шілдедегі N 33/02 қаулысына қосымша

Қарағанды қаласы әкімдігінің 2010 жылғы 14 желтоқсандағы N 60/09 қаулысына қосымша

2011 жылға арналған қоғамдық жұмыстарды ұйымдастыратын Қарағанды қаласы кәсіпорындарының, ұйымдарының, мекемелерінің тізбесі


N р/с	|	Мекемелердің атауы	|	адам саны	|	жұмыс түрлері	|	Қаржыландыру көзі	|	жұмыс көлемі, теңге	|	Қатысу мерзімі, ай
28	|	Қарағанды қалалық мәслихаты	|	20	|	Техникалық жұмыстар, поштаны жөнелту және жеткізу, мұрағатқа тапсырылатын құжаттарды өңдеу	|	Қарағанды қаласының бюджеті	|	1279920	|	2
29	|	Қарағанды қаласының прокуратурасы	|	20	|	Құжаттарды өңдеу жұмысы	|	Қарағанды қаласының бюджеті	|	1279920	|	2
30	|	"Қарағанды облысы сотының канцеляриясы" мемлекеттік мекемесі	|	20	|	Сот мұрағаттары құжаттарын өңдеу	|	Қарағанды қаласының бюджеті	|	1279920	|	2
31	|	Қарағанды қаласының Қазыбек би атындағы аудандық соты	|	6	|	Құжаттарды өңдеу жұмысы	|	Қарағанды қаласының бюджеті	|	383976	|	2
32	|	Қарағанды табиғат қорғау прокуратурасы	|	6	|	Құжаттарды өңдеу	|	Қарағанды қаласының бюджеті	|	383976	|	2
33	|	"Қарағанды қаласының ауылшаруашылық және ветеринария бөлімі" мемлекеттік мекемесі	|	30	|	Құжаттарды өңдеу, мониторинг жүргізу	|	Қарағанды қаласының бюджеті	|	1919880	|	2
34	|	Қарағанды облысы бойынша бақылау және әлеуметтік қорғау департаменті	|	30	|	Құжаттарды өңдеу	|	Қарағанды қаласының бюджеті	|	1919880	|	2
35	|	Қарағанды облысы әкімінің аппараты	|	55	|	Құжаттарды өңдеу	|	Қарағанды қаласының бюджеті	|	3519780	|	2
36	|	"Қарағанды қаласының экономика және жоспарлау бөлімі" мемлекеттік мекемесі	|	3	|	Құжаттарды өңдеу	|	Қарағанды қаласының бюджеті	|	191988	|	2
37	|	Қарағанды облысы бойынша қылмыстық-атқару жүйесі департаменті	|	6	|	Құжаттарды өңдеу	|	Қарағанды қаласының бюджеті	|	383976	|	2
38	|	Қарағанды облысының білім басқармасы	|	12	|	Құжаттарды өңдеу	|	Қарағанды қаласының бюджеті	|	767952	|	2
39	|	"Көркейту" коммуналдық мемлекеттік кәсіпорыны	|	12	|	Қаланы көркейту	|	Қарағанды қаласының бюджеті	|	767952	|	2
40	|	"Аудандық коммуналдық шаруашылық" коммуналдық мемлекеттік кәсіпорыны	|	22	|	Қаланы көркейту және көгалдандыру	|	Қарағанды қаласының бюджеті	|	1407912	|	2
	|	БАРЛЫҒЫ	|	1511	|		|		|	96729000	|	


