"Мемлекеттік мүлік туралы" 2011 жылғы 1 наурыздағы Қазақстан Республикасының Заңы 114-бабының 1-тармағына , "Ұлттық әл-ауқат қоры туралы" 2012 жылғы 1 ақпандағы Қазақстан Республикасының Заңы 23-бабының 1-тармағына сәйкес Қазақстан Республикасының Үкіметі ҚАУЛЫ ЕТЕДІ :

1. Осы қаулыға қосымшаға сәйкес газбен жабдықтау объектілері Қазақстан Республикасының заңнамасында белгіленген тәртіппен "Самұрық-Қазына" ұлттық әл-ауқат қоры" акционерлік қоғамының (бұдан әрі – қор) орналастырылатын акцияларын төлеуге берілсін.

2. Қазақстан Республикасы Қаржы министрлігінің Мемлекеттік мүлік және жекешелендіру комитеті қормен (келісу бойынша) бірлесіп, осы қаулыдан туындайтын шараларды қабылдасын.

3. Осы қаулы қол қойылған күнінен бастап қолданысқа енгізіледі.


Қазақстан РеспубликасыныңПремьер-Министрі	|	А. Мамин





	|	Қазақстан РеспубликасыҮкіметінің2021 жылғы 18 қаңтардағы№ 13 қаулысынақосымша

"Самұрық-Қазына" ұлттық әл-ауқат қоры" акционерлік қоғамының орналастырылатын акцияларын төлеуге берілетін газбен жабдықтау объектілерінің тізбесі

Р/с№	|	Мүліктің атауы  (жоғары, орта және төмен қысымды газ құбырлары мен олардағы құрылыс нысандары)*	|	Орналасқан жері (көше, ауыл, аудан, қала)	|	Түгендеу/кадастрлық нөмірі
11	|	"Талдықорған қаласының газ тарату желілері. Пәтерішілік газбен жабдықтау желілері" (құрылыстың II кезегі 11-іске қосу кешені)	|	Талдықорған қ.	|	03:268:957:198
12	|	"Талдықорған қаласының газ тарату желілері. Пәтерішілік газбен жабдықтау желілері" (құрылыстың III кезегі 12-іске қосу кешені)	|	Талдықорған қ.	|	03:268:957:211
13	|	"Талдықорған қаласының газ тарату желілері" (құрылыстың III кезегі 13-іске қосу кешені)	|	Талдықорған қ..	|	03:268:957:212
14	|	"Талдықорған қаласының газ тарату желілері" (құрылыстың III кезегі 14-іске қосу кешені)	|	Талдықорған қ.	|	03:268:957:213
15	|	"Талдықорған қаласының газ тарату желілері. Пәтерішілік газбен жабдықтау желілері" (құрылыстың III кезегі 15-іске қосу кешені)	|	Талдықорған қ.	|	03:268:957:214
16	|	"Талдықорған қаласының газ тарату желілері. Пәтерішілік газбен жабдықтау желілері" (құрылыстың III кезегі 16-іске қосу кешені)	|	Талдықорған қ.	|	03:268:957:215
17	|	"Талдықорған қаласының газ тарату желілері. Пәтерішілік газбен жабдықтау желілері" (құрылыстың III кезегі 17-іске қосу кешені)	|	Талдықорған қ.	|	03:268:957:216
18	|	"Талдықорған қаласының газ тарату желілері" (құрылыстың IV кезегі 18-іске қосу кешені)	|	Талдықорған қ.	|	03:268:957:217
19	|	"Талдықорған қаласының газ тарату желілері" (құрылыстың IV кезегі 19-іске қосу кешені)	|	Талдықорған қ.	|	03:268:957:218
20	|	Газ тарату шкафтары	|	Талдықорған қ., Жансүгіров көш.	|	03:268:032:419
21	|	Газ тарату шкафтары	|	Талдықорған қ., Біржан cал көш.	|	03:268:032:420
22	|	Газ тарату шкафтары	|	Талдықорған қ., Абылайхан көш.	|	03:268:042:131
23	|	Газ тарату шкафтары	|	Талдықорған қ., Ақын Сара көш.	|	03:268:035:907
24	|	Газ тарату шкафтары	|	Талдықорған қ., Ақын Сара көш.	|	03:268:038:991
25	|	Газ тарату шкафтары	|	Талдықорған қаласы, Қаратал шағын ауданы	|	03:268:036:287
26	|	Газ тарату шкафтары	|	Талдықорған қ., Байсейітов көш.	|	03:268:040:541
27	|	Газ тарату шкафтары	|	Талдықорған қ., Абылайхан көш.	|	03:268:041:542
28	|	Газ тарату шкафтары	|	Талдықорған қ., Абылайхан көш.	|	03:268:038:992
29	|	Газ тарату шкафтары	|	Талдықорған қ., Ақбастау көш.	|	03:268:039:568
30	|	Газ тарату шкафтары	|	Талдықорған қ., Қаратал шағын ауданы	|	03:268:036:293
31	|	Газ тарату шкафтары	|	Талдықорған қ., Абылайхан көш.	|	03:268:033:661
32	|	Газ тарату шкафтары	|	Талдықорған қ., Қаратал шағын ауданы	|	03:268:036:291
33	|	Газ тарату шкафтары	|	Талдықорған қ., Ескелді би көш.	|	03:268:033:662
34	|	Газ тарату шкафтары	|	Талдықорған қ., Красин көш.	|	03:268:039:564
35	|	Газ тарату шкафтары	|	Талдықорған қ., Абылайхан көш.	|	03:268:041:543
36	|	Газ тарату шкафтары	|	Талдықорған қ., Қаратал шағын ауданы	|	03:268:036:285
37	|	Газ тарату шкафтары	|	Талдықорған қ., Жансүгіров көш.	|	03:268:032:417
38	|	Газ тарату шкафтары	|	Талдықорған қ., Майстрюк көш.	|	03:268:040:540
39	|	Газ тарату шкафтары	|	Талдықорған қ., Майстрюк көш.	|	03:268:038:993
40	|	Газ тарату шкафтары	|	Талдықорған қ., Пушкин көш.	|	03:268:040:539
41	|	Газ тарату шкафтары	|	Талдықорған қ., Майстрюк көш.	|	03:268:040:547
42	|	Газ тарату шкафтары	|	Талдықорған қ., Төлебаев көш.	|	03:268:032:418
43	|	Газ тарату шкафтары	|	Талдықорған қ., Хан Тәңірі көш.	|	03:268:040:542
44	|	Газ тарату шкафтары	|	Талдықорған қ., Хан Тәңірі көш.	|	03:268:040:543
45	|	Газ тарату шкафтары	|	Талдықорған қ., Қаратал шағын ауданы	|	03:268:033:663
46	|	Газ тарату шкафтары	|	Талдықорған қ., Сейфуллин көш.	|	03:268:041:547
Шығыс Қазақстан облысы
1	|	"9 елді мекенге газ тарату кіші станциясы бар газ жеткізу құбыры"	|	Зайсан ауданы	|	234000100005
2	|	"Шығыс Қазақстан облысы Зайсан қаласының қалалық газдандыру желісін салу (1-кезек, 2-іске қосу кешені)"	|	Зайсан қ.	|	234000100003
3	|	"9 елді мекенде кентішілік және орамішілік газ құбыры желілерін салу"	|	Зайсан ауданы, Қарабұлақ, Кеңсай, Айнабұлақ, Қайнар, Шалқар, Жамбыл, Көгедай, Үлкен Қаратал, Қаратал елді мекендері	|	234000100004
4	|	"Автоматтандырылған газ тарату станциясы (АГТС)"	|	Зайсан қ.	|	232101000030
Түркістан облысы
1	|	"ОҚО, Мақтаарал ауданы, А.Қалыбеков ауылдық округі "Абат" елді мекенінде газ құбырын салу"	|	Мақтаарал ауданы, А. Қалыбеков ауылдық округі, Абат елді мекені	|	19:288:058:039
2	|	"ОҚО, Мақтаарал ауданы, Ш.Ділдәбеков ауылдық округі "Сырабад" елді мекенінде газбен жабдықтау желілерін салу"	|	Жетісай ауданы, Ш. Ділдәбеков ауылдық округі, Сырабад елді мекені	|	19:288:058:086
3	|	"ОҚО, Мақтаарал ауданы, Жамбыл ауылдық округі "Кеңесшіл" елді мекенінде газбен жабдықтау желілерін салу"	|	Мақтаарал ауданы, Жамбыл ауылдық округі, Кеңесшіл елді мекені	|	19:288:058:074:1
4	|	"ОҚО, Мақтаарал ауданы, Бірлік ауылдық округі Қ.Пернебаев елді мекенінде газбен жабдықтау желілерін салу"	|	Мақтаарал ауданы, Бірлік ауылдық округі, Қ. Пернебаев елді мекені	|	19:288:058:077:1
5	|	"ОҚО, Мақтаарал ауданы, Бірлік ауылдық округі, "Қоңырат" елді мекенінде газбен жабдықтау желілерін салу"	|	Мақтаарал ауданы, Бірлік ауылдық округі, Қоңырат елді мекені	|	19:288:058:061:1
6	|	"ОҚО, Мақтаарал ауданы, Атамекен ауылдық округі "Жеңістің 40 жылдығы" елді мекенінде газ құбырын салу"	|	Жетісай ауданы, Атамекен ауылдық округі, Жеңістің 40 жылдығы елді мекені	|	19:288:058:070
