Қазақстан Республикасының Үкіметі ҚАУЛЫ ЕТЕДI:

1. "Бөлшек салықтың арнаулы салық режимін қолдану мақсаттары үшін қызмет түрлерін айқындау және "Бөлшек салықтың арнаулы салық режимін қолдану мақсаттары үшін қызмет түрлерін айқындау туралы" Қазақстан Республикасы Үкіметінің 2021 жылғы 2 ақпандағы № 30 қаулысына өзгерістер енгізу туралы" Қазақстан Республикасы Үкіметінің 2022 жылғы 17 қарашадағы № 912 қаулысының күші жойылды деп тану туралы" Қазақстан Республикасы Үкіметінің 2023 жылғы 22 мамырдағы № 393 қаулысына мынадай өзгеріс енгізілсін:

көрсетілген қаулыға қосымша осы қаулыға қосымшаға сәйкес жаңа редакцияда жазылсын.

2. Осы қаулы алғашқы ресми жарияланған күнінен кейін күнтізбелік он күн өткен соң қолданысқа енгізіледі.


Қазақстан РеспубликасыныңПремьер-Министрі	|	Ә. Смайылов



	|	Қазақстан Республикасы
	|	Үкіметінің
	|	2023 жылғы 29 желтоқсандағы№ 1240 қаулысынақосымша
	|	Қазақстан РеспубликасыҮкіметінің2023 жылғы 22 мамырдағы№ 393 қаулысынақосымша

Бөлшек салықтың арнаулы салық режимін қолдану мақсаттары үшін қызмет түрлері

Р/с№	|	ЭҚЖЖ	|	Қызмет түрлері
164	|	47.59.1	|	Сауда алаңы 2000 ш.м-ден кем сауда объектілері болып табылатын мамандандырылған дүкендерде жиһаздың бөлшек саудасы
165	|	47.59.2	|	Сауда алаңы 2000 ш.м-ден кем сауда объектілері болып табылатын мамандандырылған дүкендерде музыкалық аспаптардың және партитуралардың бөлшек саудасы
166	|	47.59.3*	|	Сауда алаңы 2000 ш.м-ден астам (2000 ш.м. және одан жоғары) сауда объектілері болып табылатын мамандандырылған дүкендерде жиһаздың бөлшек саудасы
167	|	47.59.4*	|	Сауда алаңы 2000 ш.м-ден астам (2000 ш.м. және одан жоғары) сауда объектілері болып табылатын мамандандырылған дүкендерде музыкалық аспаптардың және партитуралардың бөлшек саудасы
168	|	47.59.5*	|	Сауда алаңы 2000 ш.м-ден астам (2000 ш.м. және одан жоғары) сауда объектілері болып табылатын мамандырылған дүкендерде жарықтандыру аспаптарының және басқа топтамаларға енгізілмеген тұрмыстық тауарлардың бөлшек саудасы
169	|	47.59.9	|	Сауда алаңы 2000 ш.м-ден кем сауда объектілері болып табылатын мамандандырылған дүкендерде жарықтандыру аспаптарын және басқа топтамаларға енгізілмеген тұрмыстық тауарлардың бөлшек саудасы
170	|	47.61.1	|	Сауда алаңы 2000 ш.м-ден кем сауда объектілері болып табылатын мамандандырылған дүкендерде кітаптардың бөлшек саудада сату
171	|	47.61.2*	|	Сауда алаңы 2000 ш.м-ден астам (2000 ш.м. және одан жоғары) сауда объектілері болып табылатын мамандандырылған дүкендерде кітаптардың бөлшек саудасы
172	|	47.62.1	|	Сауда алаңы 2000 ш.м-ден кем сауда объектілері болып табылатын мамандандырылған дүкендерде газеттердің, журналдар мен кеңсе тауарларының бөлшек саудасы
173	|	47.62.2*	|	Сауда алаңы 2000 ш.м-ден астам (2000 ш.м. және одан жоғары) сауда объектілері болып табылатын мамандандырылған дүкендерде газеттердің, журналдар мен кеңсе тауарларының бөлшек саудасы
174	|	47.63.1	|	Сауда алаңы 2000 ш.м-ден кем сауда объектілері болып табылатын мамандандырылған дүкендерде аудио- және бейнежазбалардың бөлшек саудасы
175	|	47.63.2*	|	Сауда алаңы 2000 ш.м-ден астам (2000 ш.м. және одан жоғары) сауда объектілері болып табылатын мамандандырылған дүкендерде аудио- және бейнежазбалардың бөлшек саудасы
176	|	47.64.1	|	Сауда алаңы 2000 ш.м-ден кем сауда объектілері болып табылатын мамандандырылған дүкендерде спорт жабдықтарының бөлшек саудасы
177	|	47.64.2*	|	Сауда алаңы 2000 ш.м-ден астам (2000 ш.м. және одан жоғары) сауда объектілері болып табылатын мамандандырылған дүкендерде спорт жабдықтарының бөлшек саудасы
178	|	47.65.1	|	Сауда алаңы 2000 ш.м-ден кем сауда объектілері болып табылатын мамандандырылған дүкендерде ойындар мен ойыншықтардың бөлшек саудасы
179	|	47.65.2*	|	Сауда алаңы 2000 ш.м-ден астам (2000 ш.м. және одан жоғары) сауда объектілері болып табылатын мамандандырылған дүкендерде ойындар мен ойыншықтардың бөлшек саудасы
180	|	47.71.1	|	Сауда алаңы 2000 ш.м-ден кем сауда объектілері болып табылатын мамандандырылған дүкендерде трикотаж және шұлық-ұйық бұйымдарының бөлшек саудасы
181	|	47.71.2	|	Сауда алаңы 2000 ш.м-ден кем сауда объектілері болып табылатын мамандандырылған дүкендерде трикотаж және шұлық-ұйық бұйымдарынан басқа киімдердің бөлшек саудасы
182	|	47.71.3*	|	Сауда алаңы 2000 ш.м-ден астам (2000 ш.м. және одан жоғары) сауда объектілері болып табылатын мамандандырылған дүкендерде трикотаж және шұлық-ұйық бұйымдарының бөлшек саудасы
183	|	47.71.4*	|	Сауда алаңы 2000 ш.м-ден астам (2000 ш.м. және одан жоғары) сауда объектілері болып табылатын мамандандырылған дүкендерде трикотаж және шұлық-ұйық бұйымдарынан басқа киімдердің бөлшек саудасы
184	|	47.72.1	|	Сауда алаңы 2000 ш.м-ден кем сауда объектілері болып табылатын мамандандырылған дүкендерде аяқкиімдердің бөлшек саудасы
185	|	47.72.2	|	Сауда алаңы 2000 ш.м-ден кем сауда объектілері болып табылатын мамандандырылған дүкендерде былғары бұйымдардың бөлшек саудасы
186	|	47.72.3*	|	Сауда алаңы 2000 ш.м-ден астам (2000 ш.м. және одан жоғары) сауда объектілері болып табылатын мамандандырылған дүкендерде аяқкиімдердің бөлшек саудасы
187	|	47.72.4*	|	Сауда алаңы 2000 ш.м-ден астам (2000 ш.м. және одан жоғары) сауда объектілері болып табылатын мамандандырылған дүкендерде былғары бұйымдардың бөлшек саудасы
188	|	47.73.1	|	Сауда алаңы 2000 ш.м-ден кем сауда объектілері болып табылатын мамандандырылған дүкендерде фармацевтикалық тауарлардың бөлшек саудасы
189	|	47.74.1	|	Сауда алаңы 2000 ш.м-ден кем сауда объектілері болып табылатын мамандандырылған дүкендерде медициналық және ортопедиялық тауарлардың бөлшек саудасы
190	|	47.75.1	|	Сауда алаңы 2000 ш.м-ден кем сауда объектілері болып табылатын мамандандырылған дүкендерде косметикалық тауарлардың және жуыну керек-жарақтарының бөлшек саудасы
191	|	47.75.2*	|	Сауда алаңы 2000 ш.м-ден астам (2000 ш.м. және одан жоғары) сауда объектілері болып табылатын мамандандырылған дүкендерде косметикалық тауарлардың және жуыну керек-жарақтарының бөлшек саудасы
192	|	47.76.1	|	Сауда алаңы 2000 ш.м-ден кем сауда объектілері болып табылатын мамандандырылған дүкендерде гүлдердің бөлшек саудасы
193	|	47.76.2	|	Сауда алаңы 2000 ш.м-ден кем сауда объектілері болып табылатын мамандандырылған дүкендерде тұқымдар мен, тыңайтқыштардың бөлшек саудасы
