
Қазақстан Республикасының 2008 жылғы 4 желтоқсандағы Бюджет кодексiнің
106-бабына , "Қазақстан Республикасындағы жергілікті мемлекеттік басқару және өзін-өзі басқару туралы" Қазақстан Республикасының 2001 жылғы 23 қаңтардағы Заңының 6-бабының 1 тармағының
1) тармақшасына сәйкес, Солтүстік Қазақстан облысы Мамлют ауданының мәслихаты
ШЕШТІ
:


1. "2016-2018 жылдарға арналған аудандық бюджеті туралы" Солтүстік Қазақстан облысы Мамлют ауданы мәслихатының 2015 жылғы 23 желтоқсандағы № 49/2
шешіміне (2016 жылғы 29 қаңтардағы "Солтүстік жұлдызы", "Знамя труда" аудандық газеттерінде жарияланған, нормативтік құқықтық актілерді мемлекеттік тіркеу Тізілімінде № 3539 болып тіркелген) келесі өзгерістер енгізілсін:


Нұсқалған шешімнің
1 ,
4 қосымшалары осы шешімнің
1 ,
2 қосымшаларына сәйкес жаңа редакцияда баяндалсын.


2. Осы шешім 2016 жылғы 1 қаңтардан бастап қолданысқа енгізіледi.


Солтүстік Қазақстан облысыМамлют ауданы мәслихатысессиясының төрағасы	|	А. Жүнісов
Солтүстік Қазақстан облысыМамлют ауданы мәслихатыныңхатшысы	|	Р. Нұрмұқанова
"КЕЛІСІЛДІ""Солтүстік Қазақстан облысыМамлют ауданыныңэкономика және қаржы бөлімі"мемлекеттiк мекемесiніңбасшысы2016 жыл 10 маусым	|	А.Биктимиров




	|	Солтүстік Қазақстан облысы Мамлют ауданы мәслихатының 2016 жылғы 10 маусымдағы № 4/2 шешіміне 1 қосымша
	|	Солтүстік Қазақстан облысы Мамлют ауданы мәслихатының 2015 жылғы 23 желтоқсандағы № 49/2 шешіміне 1 қосымша

2016 жылға Мамлют аудандық бюджеті

Санаты	|	Сыныбы	|	Iшкi сыныбы	|	Атауы	|	Сома, мың теңге
	|		|	005	|	Ауданның (облыстық маңызы бар қаланың) мемлекеттік білім беру мекемелер үшін оқулықтар мен оқу-әдiстемелiк кешендерді сатып алу және жеткізу	|	23616
	|		|	015	|	Жетім баланы (жетім балаларды) және ата-аналарының қамқорынсыз қалған баланы (балаларды) күтіп-ұстауға қамқоршыларға (қорғаншыларға) ай сайынға ақшалай қаражат төлемі	|	8747
	|		|	022	|	Жетім баланы (жетім балаларды) және ата-анасының қамқорлығынсыз қалған баланы (балаларды) асырап алғаны үшін Қазақстан азаматтарына біржолғы ақша қаражатын төлеуге арналған төлемдер	|	479
	|		|	029	|	Балалар мен жасөспірімдердің психикалық денсаулығын зерттеу және халыққа психологиялық-медициналық-педагогикалық консультациялық көмек көрсету	|	8776
	|		|	067	|	Ведомстволық бағыныстағы мемлекеттік мекемелерінің және ұйымдарының күрделі шығыстары	|	37050
06	|		|		|	Әлеуметтiк көмек және әлеуметтiк қамсыздандыру	|	130273
	|	451	|		|	Ауданның (облыстық маңызы бар қаланың) жұмыспен қамту және әлеуметтік бағдарламалар бөлімі	|	17492
	|		|	005	|	Мемлекеттік атаулы әлеуметтік көмек	|	2100
	|		|	016	|	18 жасқа дейінгі балаларға мемлекеттік жәрдемақылар	|	4600
	|		|	025	|	Өрлеу жобасы бойынша келісілген қаржылай көмекті енгізу	|	10792
	|	464	|		|	Ауданның (облыстық маңызы бар қаланың) білім бөлімі	|	15586
	|		|	030	|	Патронат тәрбиешілерге берілген баланы (балаларды) асырап бағу	|	15586
	|	451	|		|	Ауданның (облыстық маңызы бар қаланың) жұмыспен қамту және әлеуметтік бағдарламалар бөлімі	|	97195
	|		|	002	|	Жұмыспен қамту бағдарламасы	|	16733
