
Қазақстан Республикасының Үкiметi ҚАУЛЫ ЕТЕДI : 1. «2010 – 2014 жылдарға арналған республикалық индустрияландыру картасы туралы» Қазақстан Республикасы Үкiметiнiң 2010 жылғы 14 сәуiрдегi № 303 қаулысына мынадай өзгеріс енгізілсін: көрсетілген қаулымен бекітілген 2010 – 2014 жылдарға арналған республикалық индустрияландыру картасы осы қаулыға қосымшаға сәйкес жаңа редакцияда жазылсын. 2. Осы қаулы қол қойылған күнiнен бастап қолданысқа енгiзiледi.

Қазақстан Республикасының Премьер-Министрi                                     С. Ахметов

Қазақстан Республикасы Үкіметінің 2013 жылғы 29 наурыздағы № 295 қаулысына қосымша

Қазақстан Республикасы Үкiметiнiң 2010 жылғы 14 сәуiрдегi № 303 қаулысымен бекiтiлген

2010 – 2014 жылдарға арналған республикалық индустрияландыру картасы


Р/с№	|	Жобаның атауы	|	Жауапты мемлекеттiк орган және ұлттық холдинг	|	Өңiр	|	Жобаға өтiнiш берушi	|	Iске асыру мерзiмi*/жобаның мәртебесі	|	2013 жылға инвестицияларды игеру жоспары, млн. теңге
31.	|	FTTH (Fiber to the Home) желiлерiн салу	|	ККМ, «Самұрық-Қазына» ҰӘҚ» АҚ (келісім бойынша)	|	Өңiраралық жоба	|	«Қазақтелеком» АҚ	|	2010 – 2014 жылдар	|	16 282,9
32.	|	«Жезқазған – Бейнеу» жаңа темiржол желiсiн салу	|	ККМ, «Самұрық-Қазына» ҰӘҚ» АҚ (келісім бойынша)	|	Өңiраралық жоба	|	«Қазақстан темiр жолы» ҰК» АҚ	|	2012 – 2016 жылдар	|	106 952
33.	|	«Арқалық – Шұбаркөл» жаңа темiржол желiсiн салу	|	ККМ, «Самұрық-Қазына» ҰӘҚ» АҚ (келісім бойынша)	|	Өңiраралық жоба	|	«Қазақстан темiр жолы» ҰК» АҚ	|	2012 – 2015 жылдар	|	45 751
34.	|	Алматы облысында Алматы қаласының 4 серіктес қаласын салу (1-кезең)	|	ӨДМ	|	Алматы облысы	|	«G4 Сitу» ЖШС	|	2008 – 2031 жылдар	|	5 375,6(шартты қаржыландырылатын)
35.	|	«KazSat» жерсеріктік байланыс және хабар тарату жүйесiн құру	|	ҰҒА	|	Астана қаласы	|	ҰҒА	|	2006 – 2014 жылдар	|	2 859,5(«KazSat-3»)
36.	|	Ғарыш аппараттарын құрастыру-сынау кешенiн құру	|	ҰҒА	|	Астана қаласы	|	ҰҒА	|	2008 – 2015 жылдар	|	7 000
37.	|	Қазақстан Республикасының Жердi қашықтан зондтау ғарыш жүйесiн құру	|	ҰҒА	|	Астана қаласы	|	ҰҒА	|	2006 – 2014 жылдар	|	11 298,5
38.	|	Аффинаж зауытын салу	|	ИЖТМ, «Самұрық-Қазына» ҰӘҚ» АҚ (келісім бойынша)	|	Астана қаласы	|	«Тау-Кен Самұрық» ҰТК» АҚ	|	2012 – 2013 жылдар	|	5 000
39.	|	«Байқоңыр» ғарыш айлағында «Бәйтерек» ҒЗК құру	|	ҰҒА	|	Қызылорда облысы	|	ҰҒА	|	Перспективалық	|	-
40.	|	«Кендiрлi» курорттық демалыс аймағын дамыту	|	ИЖТМ	|	Маңғыстау облысы	|	Маңғыстау облысының әкiмдiгi	|	Перспективалық	|	-
41.	|	Қарашығанақ және Қашаған кен орындары шикізаттарының базасында мұнай-химия өндірісін ұйымдастыру	|	МГМ, «Самұрық-Қазына» ҰӘҚ» АҚ (келісім бойынша)	|	Атырау облысы/БҚО	|	«Бірлескен химия компаниясы» ЖШС	|	Перспективалық	|	-
42.	|	Бутадиен және синтетикалық каучук өндірісі	|	МГМ, «Самұрық-Қазына» ҰӘҚ» АҚ (келісім бойынша)	|	Атырау облысы	|	«Бірлескен химия компаниясы» ЖШС	|	Перспективалық	|	-
43.	|	Кальцийленген сода өндірісі	|	ИЖТМ, Жамбыл облысының әкімдігі	|	Жамбыл облысы	|	Компания «Енким»	|	Перспективалық	|	-
44.	|	Алматы қаласындағы әлемдік деңгейдегі тау-шаңғы курорты	|	ИЖТМ, Алматы қаласының әкімдігі	|	Алматы қаласы	|		|	Перспективалық	|	-
45.	|	Торғай ЖЭС-ін салу	|	ИЖТМ	|	Қостанай облысы	|		|	Перспективалық	|	-
46.	|	Ақтау қаласында бу-газ құрылғысын салу	|	ИЖТМ, «Самұрық-Қазына» ҰӘҚ» АҚ (келісім бойынша)	|	Ақтау қаласы	|	«Қазатомөнеркәсiп» ҰАК» АҚ	|	Перспективалық	|	-
47.	|	Қарағанды ЖЭО-4	|	ИЖТМ, Қарағанды облысының әкімдігі	|	Қарағанды облысы	|		|	Перспективалық	|	-
