ҚАУЛЫ ЕТЕДІ:

1. "Зеренді ауданында үгіттік баспа материалдарын орналастыру үшін орындарды белгілеу және сайлаушылармен кездесу үшін үй-жайлар ұсыну туралы" Ақмола облысы Зеренді ауданы әкімдігінің 2014 жылғы 31 шілдедегі № 474 қаулысына (Нормативтік құқықтық актілерді мемлекеттік тіркеу тізілімінде № 4318 болып тіркелген) келесі өзгерістер енгізілсін:

көрсетілген қаулының тақырыбы жаңа редакцияда жазылсын:

"Барлық кандидаттар үшін үгіттік баспа материалдарын орналастыру үшін орындарды белгілеу туралы";

көрсетілген қаулының 1 тармағы жаңа редакцияда жазылсын:

"1. Осы қаулының қосымшасына сәйкес Зеренді аудандық аумақтық сайлау комиссиясымен бірлесіп барлық кандидаттар үшін үгіттік баспа материалдарын орналастыру үшін орындар белгіленсін";

көрсетілген қаулының 2 тармағы алынып тасталсын;

көрсетілген қаулының 1 қосымшасы осы қаулының қосымшасына сәйкес жаңа редакцияда жазылсын.

2. Осы қаулының орындалуын бақылау Ақмола облысы Зеренді ауданы әкімінің орынбасары Р.Қ. Ғабдуллинаға жүктелсін.

3. Осы қаулы оның алғашқы ресми жарияланған күнінен кейін күнтізбелік он күн өткен соң қолданысқа енгізіледі.


Зеренді ауданының әкімі	|	А.Жаксылыков


"КЕЛІСІЛДІ"


Зеренді аудандық аумақтықсайлау комиссиясы





	|	Зеренді ауданының әкімдігінің2021 жылғы 16 шілдедегі№ А-7/499 қаулысынақосымша
	|	Зеренді ауданы әкімдігінің2014 жылғы "31" маусымдағы№ 474 қаулысынақосымша

Барлық кандидаттар үшін үгіттік баспа материалдарын орналастыру үшін орындар

№	|	Елді мекеннің атауы	|	Сайлау учаскесінің нөмірі	|	Орналасқан жері
53.	|	Көктерек ауылы	|	558	|	Мектеп, 20 көшесіндегі "Ақмола облысы білім басқармасының Зеренді ауданы бойынша білім бөлімі Көктерек ауылының негізгі орта мектебі" коммуналдық мемлекеттік мекемесінің ғимараты жанындағы ақпараттық стенд
54.	|	Мәлік Ғабдуллин ауылы, Қойсалған ауылы	|	559	|	Зеленая, 16А көшесіндегі Зеренді ауданының мәдениет және тілдерді дамыту бөлімінің жанындағы "Мәдениет үйі" мемлекеттік коммуналдық қазыналық кәсіпорнының М.Ғабдуллин ауылдық клубының ғимараты жанындағы ақпараттық стенд.
55.	|	Кіші түкті ауылы	|	560	|	Орталық, 1А көшесіндегі Зеренді ауданының мәдениет және тілдерді дамыту бөлімінің жанындағы "Мәдениет үйі" мемлекеттік коммуналдық қазыналық кәсіпорнының Кіші-Түкті ауылдық клубының ғимараты жанындағы ақпараттық стенд
56.	|	Серафимовка ауылы	|	561	|	Орталық, 40 көшесіндегі Зеренді ауданының мәдениет және тілдерді дамыту бөлімінің жанындағы "Мәдениет үйі" мемлекеттік коммуналдық қазыналық кәсіпорнының Серафимовка ауылдық клубының ғимараты жанындағы ақпараттық стенд
57.	|	Дороговка ауылы	|	562	|	Еңбек, 16 көшесіндегі Зеренді ауданының мәдениет және тілдерді дамыту бөлімінің жанындағы "Мәдениет үйі" мемлекеттік коммуналдық қазыналық кәсіпорнының Дороговка ауылдық клубының ғимараты жанындағы ақпараттық стенд
58.	|	Қарауыл Қанай би ауылы, Желтау ауылы	|	563	|	Қанай би атындағы, 10 көшесіндегі "Ақмола облысы білім басқармасының Зеренді ауданы бойынша білім бөлімі Қарауыл Қанай би ауылының негізгі орта мектебі" коммуналдық мемлекеттік мекемесінің ғимараты жанындағы ақпараттық стенд
59.	|	Игілік ауылы, Жамантұз ауылы	|	564	|	Қанай би атындағы, 12 көшесіндегі "Ақмола облысы білім басқармасының Зеренді ауданы бойынша білім бөлімі Игілік ауылының жалпы орта білім беретін мектебі" коммуналдық мемлекеттік мекемесінің ғимараты жанындағы ақпараттық стенд.Қанай би атындағы, 8 көшесіндегі ғимараты жанындағы ақпараттық стенд
60.	|	Қызылегіс ауылы, Қарашілік ауылы	|	565	|	Орталық, 13 көшесіндегі Зеренді ауданының мәдениет және тілдерді дамыту бөлімінің жанындағы "Мәдениет үйі" мемлекеттік коммуналдық қазыналық кәсіпорнының Қызылегіс ауылдық клубының ғимараты жанындағы ақпараттық стенд.Абылай хан, 7 көшесіндегі ғимараты жанындағы ақпараттық стенд
61.	|	Ортағаш ауылы	|	566	|	Ардагерлер, 17 көшесіндегі Зеренді ауданының мәдениет және тілдерді дамыту бөлімінің жанындағы "Мәдениет үйі" мемлекеттік коммуналдық қазыналық кәсіпорнының Ортағаш ауылдық клубының ғимараты жанындағы ақпараттық стенд
62.	|	Троиц ауылы	|	568	|	Мектеп, 2 көшесіндегі "Ақмола облысы білім басқармасының Зеренді ауданы бойынша білім бөлімі Троицкое ауылының жалпы орта білім беретін мектебі" коммуналдық мемлекеттік мекемесінің ғимараты жанындағы ақпараттық стенд
63.	|	Қошқарбай ауылы	|	569	|	Мектеп, 16 көшесіндегі "Ақмола облысы білім басқармасының Зеренді ауданы бойынша білім бөлімі Қошқарбай ауылының Мәди Хасенов атындағы бастауыш мектебі" коммуналдық мемлекеттік мекемесінің ғимараты жанындағы ақпараттық стенд
64.	|	Кеңөткел ауылы	|	570	|	Орталық, 25 көшесіндегі Зеренді ауданының мәдениет және тілдерді дамыту бөлімінің жанындағы "Мәдениет үйі" мемлекеттік коммуналдық қазыналық кәсіпорнының Кеңөткел ауылдық клубы ғимараты жанындағы ақпараттық стенд
65.	|	Бәйтерек ауылы, Өндіріс ауылы	|	571	|	Орталық, 1 көшесіндегі Зеренді ауданының мәдениет және тілдерді дамыту бөлімінің жанындағы "Мәдениет үйі" мемлекеттік коммуналдық қазыналық кәсіпорнының Бәйтерек ауылдық клубы ғимараты жанындағы ақпараттық стенд
66.	|	Красный Кордон ауылы	|	572	|	Орталық, 57 көшесіндегі "Ақмола облысы білім басқармасының Зеренді ауданы бойынша білім бөлімі Красный Кордон ауылының негізгі орта мектебі" коммуналдық мемлекеттік мекемесінің ғимараты жанындағы ақпараттық стенд
67.	|	Ермаковка ауылы, Үлгілі ауылы	|	573	|	Мектеп, 4 көшесіндегі Зеренді ауданының мәдениет және тілдерді дамыту бөлімінің жанындағы "Мәдениет үйі" мемлекеттік коммуналдық қазыналық кәсіпорнының Ермаковка ауылдық клубының ғимараты жанындағы ақпараттық стенд
68.	|	Қарсақ ауылы	|	574	|	Ардагерлер, 1 көшесіндегі "Ақмола облысы білім басқармасының Зеренді ауданы бойынша білім бөлімі Қарсақ ауылының бастауыш мектебі" коммуналдық мемлекеттік мекемесінің ғимараты жанындағы ақпараттық стенд



