Қазақстан Республикасы Үкіметінің 2008 жылғы 11 маусымдағы № 573 қаулысымен бекітілген "Болашақ" халықаралық стипендиясын тағайындау үшін үміткерлерді іріктеу және "Болашақ" халықаралық стипендиясын жұмсау бағыттарын айқындау қағидаларын іске асыру мақсатында БҰЙЫРАМЫН:

1. Осы бұйрыққа қосымшаға сәйкес 2020 жылға "Болашақ" халықаралық стипендиясын тағайындау конкурсы жеңімпаздарының оқуы, тілдік курстардан өтуі үшін ұсынылатын шетелдік жетекші жоғары оқу орындарының, шетелдік ұйымдардың тізімі бекітілсін.

2. Қазақстан Республикасы Білім және ғылым министрлігінің Халықаралық ынтымақтастық департаменті Қазақстан Республикасының заңнамасында белгіленген тәртіппен:

1) осы бұйрықтың Қазақстан Республикасының Әділет министрлігінде мемлекеттік тіркелуін;

2) осы бұйрық ресми жарияланғаннан кейін оны Қазақстан Республикасы Білім және ғылым министрлігінің интернет-ресурсында орналастыруды;

3) осы бұйрық Қазақстан Республикасы Әділет министрлігінде мемлекеттік тіркелген күннен бастап он жұмыс күні ішінде Қазақстан Республикасы Білім және ғылым министрлігінің Заң департаментіне осы тармақтың 1) және 2) тармақшаларында көзделген іс-шаралардың орындалуы туралы мәліметтерді ұсынуды қамтамасыз етсін.

3. Осы бұйрықтың орындалуын бақылау Қазақстан Республикасының Білім және ғылым жетекшілік ететін вице-министріне жүктелсін.

4. Осы бұйрық алғашқы ресми жарияланған күнінен бастап қолданысқа енгізіледі.


Қазақстан РеспубликасыныңБілім және ғылым министрі	|	А. Аймагамбетов



	|	Қазақстан РеспубликасыБілім және ғылым министрінің2020 жылғы 13 шілдедегі№ 295 бұйрығынақосымша

2020 жылға арналған "Болашақ" халықаралық стипендиясын тағайындау конкурсы жеңімпаздарының оқуы, тілдік курстан өтуі үшін ұсынылатын шетелдік жетекші оқу орындары, шетелдік ұйымдар тізімі

№	|	Жоғары оқу орындарының, шетелдік ұйымдардың атауы	|	Орналасқан жері	|	Интернеттегі мекенжайы
111.	|	Райс университеті(Rice University)	|	Америка Құрама Штаттары	|	https:// www. rice. edu/
112.	|	Чапел-Хиллдегі Солтүстік Каролина университеті(University of North Carolina at Chapel Hill)	|	Америка Құрама Штаттары	|	www. unc. edu
113.	|	Чикаго университеті(University of Chicago)	|	Америка Құрама Штаттары	|	www. uch icag o. edu
114.	|	Огайо штаты университеті(Ohio State University)	|	Америка Құрама Штаттары	|	https:// www. osu. edu/
115.	|	Пенсильвания штаты университеті(Pennsylvania State University)	|	Америка Құрама Штаттары	|	https:// www. psu. edu/
116.	|	Эмори университеті(Emory University)	|	Америка Құрама Штаттары	|	http:// www. emory. edu/ home/ index. html
117.	|	Оңтүстік Калифорния университеті(University of Southern California)	|	Америка Құрама Штаттары	|	https:// www. usc. edu/
118.	|	Гумбольдт атындағы Берлин университеті(Humboldt-Universität zu Berlin)	|	Германия Федеративтік Республикасы	|	https:// www. hu- berlin. de/ en/
119.	|	Бонн университеті(University of Bonn)	|	Германия Федеративтік Республикасы	|	https:// www. uni- bonn. de/
120.	|	Гамбург университеті(Universität Hamburg)	|	Германия Федеративтік Республикасы	|	https:// www. uni- hamburg. de/ en. html
121.	|	Гейдельберг университеті(Heidelberg University)	|	Германия Федеративтік Республикасы	|	https:// www. uni- hei delb erg. de/ en
122.	|	Мюнхен техникалық университеті(Technical University of Munich)	|	Германия Федеративтік Республикасы	|	https:// www. tum. de/ en/
123.	|	Людвиг және Максимилиан атындағы Мюнхен университеті(Ludwig-Maximilians-Universität München)	|	Германия Федеративтік Республикасы	|	https:// www. en. uni-muenchen.de/
124.	|	Берлин еркін университеті(Freie Universität Berlin)	|	Германия Федеративтік Республикасы	|	https:// www. fu- berlin. de/ en/ index. html
125.	|	Хельсинк университеті(University of Helsinki)	|	Финляндия Республикасы	|	https:// www. hel sink i. fi/ en
126.	|	PSL Париж Зерттеу университеті(Université PSL)	|	Франция Республикасы	|	https:// www. psl. eu/ en
127.	|	Политехникалық мектеп(Ecole Polytechnique)	|	Французская Республика	|	https:// www. pol ytec hniq ue. edu/
128.	|	Гренобль Альпі университеті(Communaute Universite Grenoble Alpes)	|	Франция Республикасы	|	http:// www. u- psud. fr/
