РҚАО-ның ескертпесі. 

Құжаттың мәтінінде түпнұсқаның пунктуациясы мен орфографиясы сақталған. 

Қазақстан Республикасының 2008 жылғы 4 желтоқсандағы Бюджет кодексінің
106 бабының 4 тармағына және "Қазақстан Республикасындағы жергілікті мемлекеттік басқару және өзін-өзі басқару туралы" Қазақстан Республикасының 2001 жылғы 23 қаңтардағы Заңының
6 бабына сәйкес аудандық мәслихат ШЕШІМ ҚАБЫЛДАДЫ:

1.
"2015 – 2017 жылдарға арналған аудандық бюджет туралы" Қордай аудандық маслихатының 2014 жылғы 22 желтоқсандағы
№37-3 шешіміне (нормативтік құқықтық актілерді мемлекеттік тіркеу Тізілімінде
№2449 болып тіркелген, 2014 жылдың 31 желтоқсанында №205-206 аудандық "Қордай шамшырағы" - "Кордайский маяк" газетінде жарияланған) келесі өзгерістер енгізілсін:


аталған шешімнің
1 және
5 қосымшалары осы шешімнің
1 және
2 қосымшаларына сәйкес жаңа редакцияда мазмұндалсын.

2.
Осы шешім әділет органдарында мемлекеттік тіркеуден өткен күннен бастап күшіне енеді және 2015 жылдың 1 қаңтарынан қолданысқа енгізіледі.


Аудандық мәслихат	|	Аудандық
сессиясының төрайымы	|	мәслихаттың хатшысы
Г. Айтқұлова	|	Б. Әлімбет




	|	Қордай аудандық мәслихатының2015 жылғы 15 мамырдағы№41-5 шешіміне 1 – қосымша
	|	Қордай аудандық мәслихатының2014 жылғы 22 желтоқсандағы№37-3 шешіміне 1 – қосымша

2015 жылға арналған аудандық бюджет

Санаты	|	Сомасы, мың теңге
Сыныбы Ішкі сыныбы Атауы
1	|	2	|	3	|	4	|	5
	|		|	037	|	Білім беру объектілерін салу және реконструкциялау	|	723719
06	|		|		|	Әлеуметтiк көмек және әлеуметтiк қамсыздандыру	|	487569
	|	464	|		|	Ауданның (облыстық маңызы бар қаланың) білім бөлімі	|	1432
	|		|	030	|	Патронат тәрбиешілерге берілген баланы (балаларды) асырап бағу	|	1432
	|	451	|		|	Ауданның (облыстық маңызы бар қаланың) жұмыспен қамту және әлеуметтік бағдарламалар бөлімі	|	383426
	|		|	002	|	Еңбекпен қамту бағдарламасы	|	78131
	|		|	004	|	Ауылдық жерлерде тұратын денсаулық сақтау, білім беру, әлеуметтік қамтамасыз ету, мәдениет, спорт және ветеринар мамандарына отын сатып алуға Қазақстан Республикасының заңнамасына сәйкес әлеуметтік көмек көрсету	|	35607
	|		|	005	|	Мемлекеттік атаулы әлеуметтік көмек	|	5600
	|		|	006	|	Тұрғын үйге көмек көрсету	|	1500
	|		|	007	|	Жергілікті өкілетті органдардың шешімі бойынша мұқтаж азаматтардың жекелеген топтарына әлеуметтік көмек	|	21610
	|		|	010	|	Үйден тәрбиеленіп оқытылатын мүгедек балаларды материалдық қамтамасыз ету	|	6280
	|		|	014	|	Мұқтаж азаматтарға үйде әлеуметтік көмек көрсету	|	48579
	|		|	016	|	18 жасқа дейінгі балаларға мемлекеттік жәрдемақылар	|	116100
	|		|	017	|	Мүгедектерді оңалту жеке бағдарламасына сәйкес, мұқтаж мүгедектерді міндетті гигиеналық құралдарымен және ымдау тілі мамандарының қызмет көрсетуін, жеке көмекшілермен қамтамасыз ету	|	23415
	|		|	023	|	Жұмыспен қамту орталықтарының қызметін қамтамасыз ету	|	1482
	|		|	052	|	Ұлы Отан соғысындағы Жеңістің жетпіс жылдығына арналған іс-шараларды өткізу	|	45122
	|	451	|		|	Ауданның (облыстық маңызы бар қаланың) жұмыспен қамту және әлеуметтік бағдарламалар бөлімі	|	100862
